objectid,title,creator,object_location,source,extent,image_thumb,date,institution,display_template,image_small
hanger_1856,"James Marshall Hanger Notes on Blackstone, copied and improved from W. S. Baylor's Notes, 1853-1854","Hanger, James Marshall",objects/Hanger_1856_manifest.json,RG 400,264,"https://iiif.lib.virginia.edu/iiif/2/law:archives:c5511528/full/,800/0/default.jpg",1856,University of Virginia School of Law,iiif_manifest,"https://iiif.lib.virginia.edu/iiif/2/law:archives:c5511528/full/,800/0/default.jpg"
alford_busassoc_1947,"Neil H. Alford Notes on Business Associations, 1947","Alford, Neil H",objects/Alford_BusAssoc_1947_manifest.json,RG 400,358,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500002/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500002/full/full/0/default.jpg
alford_conflicts_1947,"Neil, H. Alford Notes on Conflicts Law, 1947","Alford, Neil H",objects/Alford_Conflicts_1947_manifest.json,RG 400,118,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500362/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500362/full/full/0/default.jpg
alford_conlaw_1947,"Neil H. Alford Notes on Constitutional Law, 1947","Alford, Neil H",objects/Alford_ConLaw_1947_manifest.json,RG 400,146,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500480/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500480/full/full/0/default.jpg
alford_equity_1947,"Neil H. Alford Notes on Equity, 1947","Alford, Neil H",objects/Alford_Equity_1947_manifest.json,RG 400,56,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500624/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500624/full/full/0/default.jpg
alford_equityii_1947,"Neil H. Alford Notes on Equity II, 1947","Alford, Neil H",objects/Alford_EquityII_1947_manifest.json,RG400,186,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500682/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500682/full/full/0/default.jpg
alford_evidence_1947,"Neil H. Alford Notes on Evidence, 1947","Alford, Neil H",objects/Alford_Evidence_1947_manifest.json,RG400,304,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500868/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5500868/full/full/0/default.jpg
alford_fedproc_1947,"Neil H. Alford Notes on Federal Procedure, 1947","Alford, Neil H",objects/Alford_FedProc_1947_manifest.json,RG400,46,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501172/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501172/full/full/0/default.jpg
alford_futureinterests_1941,"Neil H. Alford Notes on Future Interests, 1941","Alford, Neil H",objects/Alford_FutureInterests_1941_manifest.json,RG400,66,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501486/full/full/0/default.jpg,1941,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501486/full/full/0/default.jpg
alford_futureinterests_1947,"Neil H. Alford Notes on Future Interests I, 1947","Alford, Neil H",objects/Alford_FutureInterests_1947_manifest.json,RG400,268,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501216/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501216/full/full/0/default.jpg
alford_futureinterestsii_1947,"Neil H. Alford Notes on Future Interests II, 1947","Alford, Neil H",objects/Alford_FutureInterestsII_1947_manifest.json,RG400,108,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501552/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501552/full/full/0/default.jpg
alford_insurance_1947,"Neil H. Alford Notes on Insurance, 1947","Alford, Neil H",objects/Alford_Insurance_1947_manifest.json,RG400,102,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501666/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501666/full/full/0/default.jpg
alford_internationallaw_1947,"Neil H. Alford Notes on International Law, 1947","Alford, Neil H",objects/Alford_InternationalLaw_1947_manifest.json,RG400,28,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501760/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501760/full/full/0/default.jpg
alford_legislation_1947,"Neil H. Alford Notes on Legislation, 1947","Alford, Neil H",objects/Alford_Legislation_1947_manifest.json,RG400,54,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501788/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501788/full/full/0/default.jpg
alford_persons_1947,"Neil H. Alford Notes on Persons, 1947","Alford, Neil H",objects/Alford_Persons_1947_manifest.json,RG400,84,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501844/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501844/full/full/0/default.jpg
alford_propertyii_1947,"Neil H. Alford Notes on Property, 1947","Alford, Neil H",objects/Alford_PropertyII_1947_manifest.json,RG400,80,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501928/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5501928/full/full/0/default.jpg
alford_publicutilities_1947,"Neil H. Alford Notes on Public Utilities, 1947","Alford, Neil H",objects/Alford_PublicUtilities_1947_manifest.json,RG400,268,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502006/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502006/full/full/0/default.jpg
alford_security,Neil H. Alford Notes on Security,"Alford, Neil H",objects/Alford_Security_manifest.json,RG400,108,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502276/full/full/0/default.jpg,n.d.,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502276/full/full/0/default.jpg
alford_trusts_1947,"Neil H. Alford Notes on Trusts, 1947","Alford, Neil H",objects/Alford_Trusts_1947_manifest.json,RG400,248,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502384/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502384/full/full/0/default.jpg
alford_vaproc,Neil H. Alford Notes on VA Proc,"Alford, Neil H",objects/Alford_VAProc_manifest.json,RG400,68,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502630/full/full/0/default.jpg,n.d.,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502630/full/full/0/default.jpg
alford_wills_1947,"Neil H. Alford Notes on Wills, 1947","Alford, Neil H",objects/Alford_Wills_1947_manifest.json,RG400,251,"https://iiif.lib.virginia.edu/iiif/2/law:archives:c5502700/full/,800/0/default.jpg",1947,University of Virginia School of Law,iiif_manifest,"https://iiif.lib.virginia.edu/iiif/2/law:archives:c5502700/full/,800/0/default.jpg"
blatterman_1839,"George W. Blattermann Notes on Blackstone's Commentaries, 1838-1839","Blatterman, G W",objecst/Blatterman_1839_manifest.json,RG400,272,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5511252/full/full/0/default.jpg,1839,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5511252/full/full/0/default.jpg
burks_agency_1925_1926,"Phillip P. Burks Notes on Agency, 1925-1926","Burks, Phillip P",objects/Burks_Agency_1925_1926_manifest.json,RG400,120,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502992/full/full/0/default.jpg,1925,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5502992/full/full/0/default.jpg
burks_bankruptcy_1927_1928,"Phillip P. Burks Notes on Bankruptcy, 1927-1928","Burks, Phillip P",objects/Burks_Bankruptcy_1927_1928_manifest.json,RG400,162,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503112/full/full/0/default.jpg,1927,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503112/full/full/0/default.jpg
burks_conlaw_1926_1927,"Phillip P. Burks Notes on Con Law, 1926-1927","Burks, Phillip P",objects/Burks_ConLaw_1926_1927_manifest.json,RG400,172,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503275/full/full/0/default.jpg,1926,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503275/full/full/0/default.jpg
burks_contracts_1925_1926,"Phillip P. Burks Notes on Contracts, 1925-1926","Burks, Phillip P",objects/Burks_Contracts_1925_1926_manifest.json,RG400,126,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503446/full/full/0/default.jpg,1925,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503446/full/full/0/default.jpg
burks_equityprocedure_1927_1928,"Phillip P. Burks Notes on Equity Procedure, 1927-1928","Burks, Phillip P",objects/Burks_EquityProcedure_1927_1928_manifest.json,RG400,116,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503572/full/full/0/default.jpg,1927,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503572/full/full/0/default.jpg
burks_evidencemunicipalcop_1927_1928,"Phillip P. Burks Notes on Evidence Municipal Cop, 1927-1928","Burks, Phillip P",objects/Burks_EvidenceMunicipalCop_1927_1928_manifest.json,RG400,110,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503689/full/full/0/default.jpg,1927,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503689/full/full/0/default.jpg
burks_realpropertyi_1926_1927,"Phillip P. Burks Notes on Real Property I, 1926-1927","Burks, Phillip P",objects/Burks_RealPropertyI_1926_1927_manifest.json,RG400,226,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503806/full/full/0/default.jpg,1926,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5503806/full/full/0/default.jpg
burks_realpropertyii_1926_1927,"Phillip P. Burks Notes on Real Property II, 1926-1927","Burks, Phillip P",objects/Burks_RealPropertyII_1926_1927_manifest.json,RG400,148,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504032/full/full/0/default.jpg,1926,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504032/full/full/0/default.jpg
carr_security_1948,"Francis T. Carr Notes on Security, 1948","Carr, Francis T",objects/Carr_Security_1948_manifest.json,RG400,191,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504925/full/full/0/default.jpg,1948,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504925/full/full/0/default.jpg
carr_fedjurisdiction_1948,"Francis T. Carr Notes on Federal Jurisdiction, 1948","Carr, Francis T",objects/Carr_FedJurisdiction_1948_manifest.json,RG400,56,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504172/full/full/0/default.jpg,1948,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504172/full/full/0/default.jpg
carr_fedtaxation_1948,"Francis T. Carr Notes on Federal Taxation, 1948","Carr, Francis T",objects/Carr_FedTaxation_1948_manifest.json,RG400,116,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504230/full/full/0/default.jpg,1948,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504230/full/full/0/default.jpg
carr_pensions_1947,"Francis T. Carr Notes on Pensions, 1947","Carr, Francis T",objects/Carr_Pensions_1947_manifest.json,RG400,134,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504343/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504343/full/full/0/default.jpg
carr_persons_1947,"Francis T. Carr Notes on Persons, 1926-1947","Carr, Francis T",objects/Carr_Persons_1947_manifest.json,RG400,122,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504478/full/full/0/default.jpg,1947,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504478/full/full/0/default.jpg
carr_property2_1946_1947,"Francis T. Carr Notes on Property 2, 1946-1947","Carr, Francis T",objects/Carr_Property2_1946_1947_manifest.json,RG400,325,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504604/full/full/0/default.jpg,1946,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5504604/full/full/0/default.jpg
carrington_1847,"I. H. Carrington, 1847","Carrington, I H",objects/Carrington_1847_manifest.json,RG400,154,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5510905/full/full/0/default.jpg,1847,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5510905/full/full/0/default.jpg
craven_intlaw_1860,"P. H. Craven Notes on International Law, 1860","Craven, P. H.",objects/Craven_IntLaw_1860_manifest.json,RG400,20,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5510763/full/full/0/default.jpg,1860,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5510763/full/full/0/default.jpg
dillard_1927,"Harvey Dillard, 1927","Dillard, Harvey",objects/Dillard_1927_manifest.json,MSS 84-8,156,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506087/full/full/0/default.jpg,1927,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506087/full/full/0/default.jpg
dillard_conlaw_1925,"Harvey Dillard Notes on Constitutional Law, 1925","Dillard, Harvey",objects/Dillard_ConLaw_1925_manifest.json,MSS 84-8,222,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505120/full/full/0/default.jpg,1925,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505120/full/full/0/default.jpg
dillard_equity_1926,"Harvey Dillard Notes on Equity, 1926","Dillard, Harvey",objects/Dillard_Equity_1926_manifest.json,MSS 84-8,226,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505344/full/full/0/default.jpg,1926,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505344/full/full/0/default.jpg
dillard_fedprocedure_1927,"Harvey Dillard Notes on Federal Procedure, 1927","Dillard, Harvey",objects/Dillard_FedProcedure_1927_manifest.json,MSS 84-8,160,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505564/full/full/0/default.jpg,1927,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505564/full/full/0/default.jpg
dillard_lawandgerman_1929,"Harvey Dillard Notes on Law and German, 1929","Dillard, Harvey",objects/Dillard_LawAndGerman_1929_manifest.json,MSS 84-8,150,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505937/full/full/0/default.jpg,1929,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5505937/full/full/0/default.jpg
dillard_private_corps_1926,"Harvey Dillard Notes on Private Corps, 1926","Dillard, Harvey",objects/Dillard_Private_Corps_1926_manifest.json,MSS 84-8,90,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506240/full/full/0/default.jpg,1926,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506240/full/full/0/default.jpg
dillard_realprop_1925-26,"Harvey Dillard Notes on Real Property, 1925-1926","Dillard, Harvey",objects/Dillard_RealProp_1925-26_manifest.json,MSS 84-8,190,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506330/full/full/0/default.jpg,1925,University of Virginia School of Law,iiif_manifest,https://iiif.lib.virginia.edu/iiiflaw/law:archives:c5506330/full/full/0/default.jpg
